Wheat Vulnerability GNN - Analysis Pipeline Log
============================================================

Experiment: gcn_run_1
Date: 2025-09-17 01:03:35

Pipeline Steps:
------------------------------
[01:03:21] Vulnerability Analysis Started: Using latest experiment gcn_run_1 for year 2021
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Risk Categorization: Critical: 0, High: 9, Medium: 50, Low: 66
[01:03:35] Vulnerability Insights: Major importers: 33, High concentration: 50, Geopolitical risk: 25, Limited partners: 15
[01:03:35] Top Vulnerable Countries: Most vulnerable: Palestine, Mongolia, Benin, Azerbaijan, Armenia
[01:03:35] Results Saved: Vulnerability analysis saved to vulnerability_analysis_20250917_010335.json

============================================================
