Wheat Vulnerability GNN - Analysis Pipeline Log
============================================================

Experiment: gcn_run_2
Date: 2025-09-16 23:48:07

Pipeline Steps:
------------------------------
[23:47:57] Vulnerability Analysis Started: Using latest experiment gcn_run_2 for year 2021
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Risk Categorization: Critical: 0, High: 10, Medium: 48, Low: 67
[23:48:07] Vulnerability Insights: Major importers: 33, High concentration: 50, Geopolitical risk: 25, Limited partners: 15
[23:48:07] Top Vulnerable Countries: Most vulnerable: Palestine, Mongolia, Armenia, Benin, Azerbaijan
[23:48:07] Results Saved: Vulnerability analysis saved to vulnerability_analysis_20250916_234807.json

============================================================
